	N1_1	N2_1	N3_1	N4_1	N5_1	N7_1	N9_1	N11_1	N13_1	N14_1	N15_1	W1_1	W3_1	W5_1	W6_1	W7_1	W10_1	W11_1	W12_1	W14_1
1147718	5	4	3	18	21	19	14	10	30	9	15	31	13	11	59	8	44	25	27	21
311619	0	0	0	38	0	31	53	70	42	84	38	1	0	0	2	21	0	1	2	1
4343658	5	2	52	8	18	16	10	1	5	5	3	2	11	57	13	49	4	37	28	56
4303858	0	22	11	22	9	68	29	11	33	9	19	31	18	6	21	5	23	7	22	11
535257	0	0	0	19	0	10	6	20	8	17	4	1	1	0	11	8	1	0	265	4
New.ReferenceOTU34148	0	0	0	12	2	112	72	33	36	7	26	6	7	8	7	3	25	3	6	9
575768	28	5	50	16	104	11	6	8	12	2	8	5	7	5	41	52	1	2	6	5
4381109	47	77	8	8	3	13	18	6	22	0	11	54	35	12	26	3	13	13	2	2
950620	0	0	2	4	1	1	1	8	3	8	6	4	3	11	7	2	1	5	296	8
4410004	0	0	2	80	3	28	34	69	15	31	7	55	12	29	0	0	0	2	1	2
100443	0	0	0	28	4	33	32	39	25	18	22	15	4	32	0	0	16	18	72	11
4421830	8	120	37	54	13	14	10	4	18	5	10	2	11	4	28	3	4	6	5	11
3488180	0	0	0	13	1	40	25	45	50	39	49	7	3	21	12	1	4	13	15	28
New.ReferenceOTU38477	0	0	2	9	0	46	51	19	31	31	39	61	26	14	3	3	3	12	8	8
153856	0	0	0	9	0	11	7	21	31	108	56	8	18	18	8	4	25	7	34	0
619799	0	0	12	5	35	12	13	46	40	37	19	3	5	10	14	10	17	20	31	34
343569	0	0	0	24	1	38	21	13	19	20	80	10	25	61	2	1	17	14	8	8
4389007	0	0	1	2	0	1	2	5	1	2	3	11	4	176	25	16	6	94	10	1
327583	0	7	0	4	0	31	22	5	20	1	34	17	42	13	17	5	90	34	12	5
95621	0	0	6	41	2	64	18	39	18	34	38	4	13	7	13	12	9	12	18	10
914789	0	6	0	15	1	30	28	18	21	2	30	16	33	15	23	6	64	29	13	2
305984	0	1	9	6	6	23	3	8	24	5	31	14	40	20	40	5	48	22	32	14
New.ReferenceOTU16541	2	0	5	13	6	8	17	5	4	8	12	11	6	6	62	29	115	24	14	3
4459206	0	8	5	2	0	1	1	0	6	1	6	90	62	8	2	15	22	71	9	40
4467949	1	2	1	26	1	6	11	9	2	21	2	0	0	2	85	121	0	1	43	12
2174312	0	0	0	10	0	15	27	66	42	70	32	17	5	3	10	5	0	1	34	4
4357887	2	0	5	7	1	3	3	5	1	33	24	9	4	8	19	39	3	3	98	73
44265	0	2	2	3	3	7	1	19	21	8	7	8	13	50	63	41	11	39	17	23
2225203	46	5	40	8	158	6	1	1	1	0	1	1	0	0	26	39	1	2	0	2
149154	3	2	5	5	3	1	1	4	26	29	42	2	1	10	19	6	24	20	47	87
4472017	10	9	17	4	11	2	0	0	20	2	10	2	3	63	20	3	10	23	83	45
695365	6	61	12	16	8	9	18	3	6	5	18	8	13	7	19	7	55	51	13	2
New.ReferenceOTU51469	13	4	106	14	24	5	1	6	5	8	35	0	8	8	16	5	8	10	39	20
4041792	89	3	63	8	127	0	1	1	4	0	0	1	2	0	14	15	1	0	1	0
161677	0	0	13	20	8	1	48	28	74	107	2	0	0	2	0	9	0	6	4	6
310462	0	0	0	1	0	5	22	62	15	155	29	8	2	5	0	3	1	0	9	10
332569	7	3	37	12	17	15	5	11	14	5	14	29	15	5	44	13	31	28	16	6
339778	0	0	3	7	1	7	4	21	9	19	6	2	0	0	5	234	0	3	1	3
New.ReferenceOTU28192	0	5	9	3	9	15	9	4	5	5	10	10	11	79	15	17	22	46	30	21
760914	0	3	1	32	0	5	6	21	41	7	18	34	40	8	1	4	71	26	6	1
95883	0	0	2	1	1	9	5	16	5	11	24	50	23	15	64	32	9	15	26	17
New.ReferenceOTU18409	0	0	8	4	1	4	10	5	0	12	15	0	5	14	2	140	4	29	10	55
3694822	0	0	1	14	1	7	11	12	4	18	9	0	5	5	24	134	2	8	15	47
461206	0	0	0	3	0	10	12	14	3	0	6	157	79	3	4	10	1	11	1	1
338048	0	0	0	8	0	25	45	48	24	87	17	22	2	1	1	17	0	0	9	6
1011210	1	21	5	10	7	14	4	8	41	2	18	25	21	6	35	4	43	18	19	7
4354769	0	64	24	4	4	4	2	2	3	2	2	23	98	21	12	16	6	12	1	8
New.ReferenceOTU38879	4	0	7	5	17	8	6	19	12	19	20	44	23	13	39	10	20	13	18	10
4332795	4	7	1	12	0	39	21	5	24	18	32	20	23	15	17	3	28	7	23	8
New.ReferenceOTU29475	4	3	13	2	15	1	1	1	19	3	12	0	4	58	15	5	12	24	73	41
151117	1	95	8	7	1	5	4	20	10	2	7	25	39	6	9	36	11	13	2	5
140859	0	0	0	0	0	1	2	2	4	1	6	9	10	15	8	12	7	98	18	113
4315250	13	23	2	10	2	10	5	5	35	1	12	21	5	7	29	8	36	36	26	18
2194871	0	1	3	33	2	23	12	17	14	27	46	2	12	72	3	0	7	6	11	13
617340	0	0	1	29	3	50	37	19	7	11	36	2	3	33	9	5	23	12	17	6
New.ReferenceOTU38616	0	0	0	4	0	19	46	52	13	83	29	30	5	7	0	5	0	2	4	4
1127804	5	2	8	34	1	93	14	10	15	5	10	12	4	3	14	12	14	14	14	15
174353	79	0	61	3	115	1	0	2	1	1	1	0	0	0	13	17	1	1	0	3
New.ReferenceOTU40210	4	1	9	6	9	17	14	8	6	0	4	10	14	42	23	35	24	33	13	21
142257	1	31	6	2	3	3	1	3	6	1	20	6	14	2	9	32	13	50	12	78
New.ReferenceOTU50173	0	0	0	3	0	10	43	41	6	76	33	40	6	9	1	12	1	3	8	0
99309	31	190	34	16	1	6	0	0	2	0	0	4	2	0	1	0	0	1	2	1
247639	107	0	77	2	65	0	1	1	1	1	0	2	1	0	9	19	0	0	0	5
310202	4	9	8	8	15	6	8	7	14	17	38	6	13	15	30	4	18	27	32	12
New.ReferenceOTU48796	0	0	0	5	0	23	25	18	25	4	12	23	52	7	1	3	59	24	6	2
567259	0	2	2	0	1	4	0	2	3	0	3	3	2	40	5	36	2	117	18	48
2641600	20	39	15	17	85	7	2	3	4	1	6	8	2	4	11	5	6	3	12	36
4370348	0	0	1	9	0	13	30	40	13	18	5	21	4	8	50	56	0	0	9	8
4451302	23	37	1	4	6	1	1	0	27	1	9	18	4	33	15	1	18	19	41	24
New.ReferenceOTU50067	0	4	4	2	3	4	1	6	16	16	42	2	2	9	20	1	34	17	50	49
103210	0	0	0	94	0	14	15	23	20	20	3	0	0	0	50	9	0	4	24	4
